"line","l_area","l_perimeter","l_length","l_width","l_apex","l_base","t_area","t_perimeter","t_length","t_width","t_apex","t_base","r_area","r_perimeter","r_length","r_width","r_apex","r_base"
"Berken",54.3094452688071,35.4340879103738,8.90868031166717,7.78413333972856,86.1137940048176,98.7608091916666,53.7443111275935,35.7609237894829,8.99508431727804,8.56037881947172,90.7211149663055,108.12233095272,55.7928131148449,35.9591633498572,8.74035229082688,7.85863992103657,85.7192457982653,97.4342398752884
"Commercial_check1",47.1454227127113,33.6513339457551,8.13577969805533,7.1043031760615,87.327819880285,99.6753607974672,43.444188167522,32.6186601780298,8.24507709208463,7.74354473274528,90.0119124180589,108.698331353511,44.909248052748,33.6982336079067,8.08539279284724,7.00469567928647,83.5661190900726,97.391014528522
"Commercial_check2",45.2576008402926,32.8344848387352,8.18589464623824,7.18326743198959,83.9281253315007,98.4610444009706,46.1590031357317,33.6863885386298,7.91277813776602,8.1261761654329,96.2483276907459,112.048856745418,48.1507228837895,34.1627255137084,8.13432806799913,7.36838195720283,84.2007849311277,97.7255197197946
"Lincon",54.9862295783815,35.9882049427262,8.83545128824401,7.82709840232614,85.6161899207129,98.8212423694196,52.3417504422975,35.3193153375368,8.80128641063466,8.63008859165918,88.8063560141098,109.546398797269,56.1363012246752,36.5173363151695,8.73360070814522,7.92731099120329,85.5139263952441,99.305633685597
"OK-12",37.7950415595812,30.2960046620686,7.66630425292271,6.401883026108,85.5368821936239,98.5901965264222,36.0800015559806,30.7380309865101,8.03293598076561,6.9510246678888,80.3751234874257,103.024274462807,39.5585595308543,31.3703879834398,7.96415810416761,6.48889416375839,82.4117141433192,95.5229685272479
"Ok2000",58.1423196821662,36.5448727173849,8.88043053444995,8.17898259528613,86.1716894385224,100.833930955422,57.1001076495585,36.4793093407512,8.68800210591667,9.19362945202158,96.559434486798,113.487316475384,62.2167890955213,37.8067491590259,9.02423261908367,8.36354846659867,88.44167783047,101.159452683817
"PI163110",48.0025277413327,33.8896392934073,8.39266738508435,7.27665048061496,82.5720971281959,97.4480384084799,44.2368800181131,32.538474080277,8.34605810794973,7.7976391421192,83.971481426553,107.922919993082,50.4637463603614,34.9647231728751,8.46311743848668,7.39372805316861,82.9935558441801,96.8526632926496
"PI164726",44.8577605063942,32.8697923062374,8.33909861007371,6.9722022278536,83.1843464189708,96.4510911588332,44.4247143328209,32.92322171775,8.50175428992503,7.65148441385873,85.228823099772,106.324979615353,46.0367104776732,33.1024229196812,8.40330468054493,7.05659479601576,83.9408063212307,97.8507205670931
"PI164745",46.3709853674456,33.0469034242758,7.87850798167975,7.30898108826443,89.3127972137359,103.370974549513,45.0870097387268,32.9351860078818,8.23068254778225,8.10731279872811,92.1442888211847,111.106078282909,47.0821991669467,33.7510909967238,7.74147499163584,7.37165160734241,84.2019902125527,100.064302206594
"PI164770",48.1885702254198,34.0994859347893,8.2034520874299,7.35044767830549,85.124412312935,97.8880503886429,45.1476372798693,33.1674709351847,8.74011414393144,7.94628860601863,87.1099873270687,105.817709083164,48.0388053504591,34.2635172529272,8.52349808493156,7.32398500898565,81.7609465001778,95.8273333582351
