line,l_area,l_perimeter,l_length,l_width,l_apex,l_base,t_area,t_perimeter,t_length,t_width,t_apex,t_base,r_area,r_perimeter,r_length,r_width,r_apex,r_base,leaftype
Berken,54.30944527,35.43408791,8.908680312,7.78413334,86.113794,98.76080919,53.74431113,35.76092379,8.995084317,8.560378819,90.72111497,108.122331,55.79281311,35.95916335,8.740352291,7.858639921,85.7192458,97.43423988,1
Commercial_check1,47.14542271,33.65133395,8.135779698,7.104303176,87.32781988,99.6753608,43.44418817,32.61866018,8.245077092,7.743544733,90.01191242,108.6983314,44.90924805,33.69823361,8.085392793,7.004695679,83.56611909,97.39101453,1
Commercial_check2,45.25760084,32.83448484,8.185894646,7.183267432,83.92812533,98.4610444,46.15900314,33.68638854,7.912778138,8.126176165,96.24832769,112.0488567,48.15072288,34.16272551,8.134328068,7.368381957,84.20078493,97.72551972,1
Lincon,54.98622958,35.98820494,8.835451288,7.827098402,85.61618992,98.82124237,52.34175044,35.31931534,8.801286411,8.630088592,88.80635601,109.5463988,56.13630122,36.51733632,8.733600708,7.927310991,85.5139264,99.30563369,1
OK-12,37.79504156,30.29600466,7.666304253,6.401883026,85.53688219,98.59019653,36.08000156,30.73803099,8.032935981,6.951024668,80.37512349,103.0242745,39.55855953,31.37038798,7.964158104,6.488894164,82.41171414,95.52296853,1
Ok2000,58.14231968,36.54487272,8.880430534,8.178982595,86.17168944,100.833931,57.10010765,36.47930934,8.688002106,9.193629452,96.55943449,113.4873165,62.2167891,37.80674916,9.024232619,8.363548467,88.44167783,101.1594527,1
PI163110,48.00252774,33.88963929,8.392667385,7.276650481,82.57209713,97.44803841,44.23688002,32.53847408,8.346058108,7.797639142,83.97148143,107.92292,50.46374636,34.96472317,8.463117438,7.393728053,82.99355584,96.85266329,1
PI164726,44.85776051,32.86979231,8.33909861,6.972202228,83.18434642,96.45109116,44.42471433,32.92322172,8.50175429,7.651484414,85.2288231,106.3249796,46.03671048,33.10242292,8.403304681,7.056594796,83.94080632,97.85072057,1
PI164745,46.37098537,33.04690342,7.878507982,7.308981088,89.31279721,103.3709745,45.08700974,32.93518601,8.230682548,8.107312799,92.14428882,111.1060783,47.08219917,33.751091,7.741474992,7.371651607,84.20199021,100.0643022,1
PI164770,48.18857023,34.09948593,8.203452087,7.350447678,85.12441231,97.88805039,45.14763728,33.16747094,8.740114144,7.946288606,87.10998733,105.8177091,48.03880535,34.26351725,8.523498085,7.323985009,81.7609465,95.82733336,1
PI164889,43.35594258,32.58305287,8.290450341,6.829862461,82.28584886,95.08350262,42.88426982,32.75158566,8.65841692,7.725359763,80.68601474,105.5534619,44.33546087,33.04854455,8.389848463,6.944714248,79.96137298,95.41309941,1
PI167295,48.10959974,34.25940799,8.494541967,7.199359681,81.65319438,96.73927593,45.39754817,33.42891094,8.51315986,7.94875301,86.26806186,107.4654342,48.07062703,34.65714097,8.600985292,7.15239894,81.54450111,95.90884203,1
PI179703,42.8623028,33.71230763,8.484879004,6.819670031,80.79319883,93.88250398,43.27801917,32.98676752,8.788286016,7.678378107,82.58214923,103.8549638,45.78861637,33.667345,8.810188961,7.029663311,78.94144803,93.59436326,1
PI183458,62.63625909,38.22119636,9.044210524,8.56463682,86.73289804,100.9009117,54.95285902,36.75055007,8.858241197,8.936481664,90.37633248,111.3675714,62.50298244,38.7777255,9.050151534,8.560049129,86.27731578,100.0747771,1
PI183936,48.16342395,34.32507323,8.339591712,7.35073571,84.87623349,98.37286839,47.1094105,33.99801085,8.666731617,8.150034253,85.4265274,108.0509861,48.39497978,34.73094146,7.891666349,7.458341467,86.53551143,101.7769282,1
PI199355,40.65863429,31.60289572,8.224545151,6.615252298,80.15768616,92.90602436,40.99390716,32.67586902,8.505081719,7.431190859,85.86093496,104.1945054,41.26037901,31.59570463,8.102673265,6.703695052,81.64440857,94.70015551,1
PI201869,51.96128425,35.67385939,8.76908227,7.638988928,84.49736113,99.15034541,48.31848388,34.28939066,8.989694902,8.180924581,85.33562758,105.6857809,55.43300937,36.47257217,8.943774781,7.728967427,80.50384411,96.00871829,1
PI201874,50.64464972,34.93804967,8.57742287,7.489606454,83.76987816,96.79725936,50.28359158,34.6439425,9.002589509,8.375313724,86.54726969,107.129635,51.15695732,34.90613047,8.66346305,7.539339602,84.38330118,97.34052395,1
PI213012,46.57969952,33.34137291,8.305890987,7.127974716,85.29606466,97.7154745,46.99779658,33.46389924,8.637018072,8.091907017,89.94693352,108.2988851,46.8874983,33.23961814,7.93276282,7.094006386,86.09951918,97.43514091,1
